,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.53,20.04,69.8,52,0,9.17,ZA,1603287646
1,Paamiut,61.99,-49.67,34.63,84,100,18.61,GL,1603287853
2,Tasiilaq,65.61,-37.64,30.2,86,75,3.36,GL,1603287667
3,Jamestown,42.1,-79.24,61.32,93,90,9.17,US,1603287393
4,Saskylakh,71.92,114.08,12.29,95,90,4.38,RU,1603287634
5,Horta,38.53,-28.63,68.0,56,40,10.29,PT,1603287854
6,San Jose de Buan,12.05,125.03,75.51,93,100,1.95,PH,1603287854
7,Luwuk,-0.95,122.79,76.77,59,33,3.24,ID,1603287854
8,Barquisimeto,10.07,-69.32,82.4,69,37,10.29,VE,1603287854
9,College,64.86,-147.8,21.63,85,90,3.36,US,1603287855
10,Punta Arenas,-53.15,-70.92,42.39,60,90,13.87,CL,1603287855
11,Busselton,-33.65,115.33,55.04,60,1,12.77,AU,1603287855
12,Athens,37.98,23.72,63.0,72,75,12.75,GR,1603287614
13,Roebourne,-20.78,117.13,71.51,64,0,18.79,AU,1603287855
14,Rikitea,-23.12,-134.97,73.45,70,10,9.89,PF,1603287856
15,Albany,42.6,-73.97,54.23,100,90,10.25,US,1603287856
16,Jasdan,22.03,71.2,86.77,58,88,6.89,IN,1603287856
17,Iquique,-20.22,-70.14,66.2,63,90,12.75,CL,1603287590
18,Vaini,-21.2,-175.2,71.6,83,75,4.7,TO,1603287857
19,Ca Mau,9.18,105.15,77.09,92,100,5.19,VN,1603287857
20,Puerto Ayora,-0.74,-90.35,66.99,95,90,11.01,EC,1603287857
21,New Norfolk,-42.78,147.06,50.07,79,25,2.19,AU,1603287747
22,Mataura,-46.19,168.86,48.99,72,92,4.0,NZ,1603287292
23,Nikolskoye,59.7,30.79,36.09,86,90,8.95,RU,1603287858
24,East London,-33.02,27.91,71.6,60,0,19.46,ZA,1603287653
25,Hearst,49.68,-83.67,31.62,97,100,8.12,CA,1603287858
26,Atuona,-9.8,-139.03,76.66,74,99,17.05,PF,1603287858
27,Airai,-8.93,125.41,61.18,100,30,0.89,TL,1603287859
28,Chita,52.03,113.55,24.8,62,30,4.47,RU,1603287859
29,Qaanaaq,77.48,-69.36,19.08,80,62,7.2,GL,1603287859
30,Hasaki,35.73,140.83,57.13,100,75,14.99,JP,1603287859
31,Naze,28.37,129.48,78.8,83,75,6.93,JP,1603287708
32,Arraial do Cabo,-22.97,-42.03,78.8,74,40,11.41,BR,1603287860
33,Alta Gracia,-31.65,-64.43,52.29,81,100,4.0,AR,1603287860
34,Laas,46.62,10.7,55.53,70,75,10.29,IT,1603287860
35,Butaritari,3.07,172.79,81.82,71,82,6.64,KI,1603287861
36,Bartica,6.4,-58.62,86.0,74,40,11.41,GY,1603287861
37,Kathu,7.92,98.33,78.8,88,20,2.24,TH,1603287861
38,Tuktoyaktuk,69.45,-133.04,23.0,85,90,14.99,CA,1603287861
39,Hithadhoo,-0.6,73.08,82.96,77,27,14.67,MV,1603287862
40,Mossamedes,-15.2,12.15,71.58,78,87,10.71,AO,1603287862
